City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (MPH)
Port Elizabeth,US,39.31,-74.98,64.51,82,75,5.59
Port Alfred,ZA,-33.59,26.89,61.0,77,89,7.0
Jalu,LY,29.03,21.55,77.47,52,0,7.52
Albany,US,42.65,-73.75,57.72,72,1,3.36
Faanui,PF,-16.48,-151.75,78.91,70,29,9.53
Ostrovnoy,RU,68.05,39.51,40.75,85,100,9.04
Saint-Philippe,CA,45.36,-73.48,62.58,100,1,5.55
Esperance,AU,-33.86,121.89,53.6,66,100,14.99
Mataura,NZ,-46.19,168.86,53.01,78,100,5.99
Barrow,AR,-38.31,-60.23,52.81,85,100,6.67
Manacapuru,BR,-3.3,-60.62,77.0,83,0,2.24
Lagoa,PT,37.14,-8.45,68.61,64,0,2.24
Saint-Francois,FR,46.42,3.91,58.06,82,0,1.12
Tete,MZ,-16.16,33.59,64.4,82,0,2.75
Naze,NG,5.43,7.07,71.17,98,91,2.04
Palauig,PH,15.44,119.9,82.87,84,100,12.62
Svetlogorsk,RU,53.14,59.15,39.2,86,56,8.95
Honiara,SB,-9.43,159.96,87.8,70,75,6.93
Necochea,AR,-38.55,-58.74,53.01,88,100,1.99
Kununurra,AU,-15.77,128.74,87.8,16,15,17.22
Ushuaia,AR,-54.81,-68.31,39.2,60,40,12.75
Kloulklubed,PW,7.04,134.26,84.2,79,90,11.41
Calama,CL,-22.46,-68.93,53.78,6,0,10.29
Nikolskoye,RU,59.7,30.79,55.56,77,0,4.47
Upernavik,GL,72.79,-56.15,39.13,67,78,9.04
Coffs Harbour,AU,-30.3,153.13,70.68,64,40,12.75
Druzhba,UA,49.36,25.65,66.99,46,0,1.01
Tiksi,RU,71.64,128.87,42.55,96,100,11.25
Hobart,AU,-42.88,147.33,56.3,44,40,17.22
Punta Arenas,CL,-53.16,-70.91,33.01,80,40,19.46
Port Blair,IN,11.67,92.75,80.6,88,75,6.93
Lebu,ET,8.96,38.73,55.15,89,100,2.1
Arraial do Cabo,BR,-22.97,-42.02,65.59,87,3,15.88
Cape Town,ZA,-33.93,18.42,51.21,93,75,5.82
Eagle Pass,MX,28.71,-100.5,94.55,41,1,6.93
Atuona,PF,-9.8,-139.03,78.19,74,0,15.82
Kieta,PG,-6.22,155.63,81.61,77,93,9.91
Taoudenni,ML,22.68,-3.98,91.69,36,0,4.56
Bilma,NE,18.69,12.92,85.75,48,0,5.79
Castro,CL,-42.48,-73.76,39.2,93,0,3.38
Rikitea,PF,-23.12,-134.97,69.19,60,100,7.0
Meulaboh,ID,4.14,96.13,80.17,77,100,5.28
Talnakh,RU,69.49,88.39,46.4,100,75,11.18
Puerto Ayora,EC,-0.74,-90.35,71.01,91,22,5.99
Nanortalik,GL,60.14,-45.24,42.55,75,46,2.95
Cockburn Town,TC,21.46,-71.14,82.33,82,67,14.76
Palmer,AU,-34.85,139.16,55.87,76,40,6.93
Severo-Kurilsk,RU,50.68,156.12,48.67,97,100,13.96
Fort Nelson,CA,58.81,-122.69,66.2,39,40,2.24
Palana,RU,59.08,159.95,51.55,89,100,2.1
Samarai,PG,-10.62,150.67,75.13,91,100,4.97
Tulum,MX,20.21,-87.46,83.64,83,20,5.82
Ahipara,NZ,-35.17,173.16,61.0,95,55,14.12
